Gene_Symbol
GIN1
C5orf46
SPINK6
COL9A1
EYS
ADGRV1
VNN1
GBP2
SULT1C3
OR2T12
SCN3A
-
TNN
RNASEL
PTCD3
HTR3C
RCBTB1
B3GLCT
P4HA3
MUC6
MT-ND2
DYNAP
ZNF285
MUC16
ADAMDEC1
ASAH1
MTUS1
TYW1B
PCLO
PCDH15
SVIL
OR13C5
FREM1
DOCK8
OR1J2
F5
OR10X1
PGLYRP3
NCAPD3
LUZP2
HTATIP2
MRGPRX3
OR10G8
OR10G7
NBPF9
OR6M1
OR10G4
OR8G2P
OR8D1
OR8B4
OR8A1
TSPAN18
OR51Q1
TRIM64C
OR51G1
OR4X2
OR4X1
OR4A47
OR51B4
BDNF
CCDC6
ECD
USP54
TBATA
WDFY4
MSMB
MBL2
NBPF19
ARHGAP42
TMPRSS4
TTC12
CSNK2A3
LIPF
GRID1
BTAF1
EIF5AL1
MMS19
MYOF
CYP2C9
STAB2
CHPT1
FBXW8
AKAP3
CRACR2A
PDZRN4
KRT6C
OR8S1
OR10AD1
CAPRIN2
SLC22A24
SLC22A25
PDE4DIP
SLC22A10
OR5A2
OR5A1
OR8H2
OR8J3
OR5AS1
OR5D18
OR8U3
OR5AR1
OR51I2
OR4C46
OR51I1
OR4C15
OR4P4
OR4S2
OR5D14
UBQLNL
OR9Q2
OR5B17
OR5B3
OR52N1
OR6Q1
OR52E6
PRG3
OR52N4
TRIM22
OR56B1
OR2AG2
OR10A2
OR10A4
OR2D2
XRRA1
LIPT2
SVEP1
ZNF705G
NIPAL2
GRIN3A
OR13F1
OR1L4
PCM1
GML
SLC7A2
SLC18A1
FLG
GSDMC
PLAG1
PREX2
IDO2
KCNU1
CUZD1
MRC1
MKI67
FRG2B
NRAP
PITRM1
ARHGAP21
ZNG1F
PGM5P2
CCDC180
PTCH1
WDR37
GPAM
PDCD11
TRPM6
PRUNE2
TRPM3
PSG7
PSG11
ZNF221
CHI3L2
OR1I1
OR10H5
OR10H3
LGALS14
CYP2A7
ZNF793
ZNF571
ZNF419
ZNF550
ADGRE1
PEG3
CEACAM20
ZNF468
TEKT1
SLC35G6
SLFN12
CCT6B
MTMR4
NUP88
L3MBTL4
NETO1
ZNF443
IL27RA
SERPINB11
DSC1
DCC
ELP2
PAGE3
VCX3A
MT-CYB
TTLL12
PNPLA3
RFPL3
DMD
KDM6A
MUC4
TRBV7-3
OR9G9
GSTM1
MT-ND1
VAV3
MT-ATP8
EFCAB8
DZANK1
CST9
IGLV8-61
OR11H1
XKR3
RSPH14
BCR
UMODL1
LSS
CABIN1
ADAMTS5
KRTAP27-1
KRTAP13-2
GET1
TPTE
ATP7B
NBPF12
FARP1
CCDC169
FLT3
PARP4
VWA8
CDKN3
MDGA2
TEP1
CLYBL
OR4K17
OR11G2
OR11H6
OR11H4
IGHV7-81
DHRS4L2
TRAV6
FAM72D
CD163L1
CLEC4C
PTPRB
TSPAN8
C1S
PTPRQ
CLEC4A
SLC2A3
TESPA1
OR6C65
OR6C2
KRT76
MDM1
RBMS2
CUL4A
CCDC168
MYO16
GJB2
PZP
A2ML1
CFAP54
TNRC6A
ZKSCAN2
ACSM1
EFL1
ACSM5
MYH4
NUDT7
OR1D5
DRC3
HYDIN
CMTM2
CNTNAP4
PKD1L3
ZNF19
SERPINA9
ATG2B
NOTCH2
PROX2
PRAMEF7
PRAMEF2
LCTL
HERC1
NEDD4
NPPA
CDIN1
SHC4
TOGARAM2
LTBP1
PLB1
PREPL
QPCT
TMEM131
ANKRD36
IGKV5-2
ANKRD36C
IGKV1-8
IGKV3D-11
CD8B
HSPA6
TTN
CASP10
GIGYF2
DIS3L2
CFAP65
SH2D1B
TRPM8
OR6B3
UGT1A8
CPS1
SMARCAL1
ITGA9
SCN11A
SCN10A
TGM4
FETUB
ZNF860
EOMES
OSBPL10
ZNF717
FLNB
CD200R1L
MYH15
GUCA1C
PHLDB2
SLC15A2
OXNAD1
IGSF10
HTR3D
LRRC34
SPATA16
SLCO2A1
RYK
COL6A6
COMMD2
C3orf20
FGD5
COPB2-DT
SIPA1L2
GNPAT
LGALS8
CAPN8
CAPN2
PARP1
CDC42BPA
ZBTB40
EPHX1
ACBD3
OR13G1
OR2B11
OR14C36
OR11L1
OR2M7
OR2L8
OR2M2
OR2L3
HEATR1
HMCN1
GORAB
SEC16B
AXDND1
FMO3
FMO2
PIGC
SLC9C2
TSEN15
TDRD5
SELE
HHAT
FLVCR1
SELL
PM20D1
CR1
TTC21B
SCN2A
NBPF1
NEB
NCKAP5
FGGY
LRRC7
ROR1
OR14I1
CYP4B1
EDAR
GREB1
SPATA1
PER3
IFI44L
GBP6
GBP1
TMEM30A-DT
FAM135A
RREB1
GJB7
ASZ1
PNPLA8
VWDE
ASB15
MUC12
LAMB4
NRCAM
KMT2E
TBXT
LPAL2
GPLD1
UNC93A
TTLL2
FBXO30
RAET1E
BCLAF1
ARFGEF3
POLR1C
PKHD1
BYSL
GSTA2
DST
H1-6
ZSCAN12
SUN1
TYW1
SAMD9L
PON1
C7orf57
FLG2
PABPC1
CYP3A7
CSMD3
SLC35G5
RP1L1
KLF10
EZH2
MGAM
TAS2R41
CTAGE15
ARHGEF5
OR2A2
KMT2C
GALNTL5
AGBL3
WDR91
LRGUK
PLXNA4
TAS2R38
CHN2
LCE5A
CRNN
TRGC1
NPSR1
SPMIP4
HDAC9
ITGB8
SPRR3
DNAH11
ABRAXAS1
HERC3
MUC7
UGT2B11
AMTN
CENPC
EPHA5
ART3
ZNF474
FAM170A
ADH6
OR10J1
KCNN2
OR6N1
ANKRD33B
INPP4B
RNF175
DCHS2
OR5H14
FILIP1L
BRPF1
ALPK1
SLC9B2
RNF212
ATP10D
ADGRL3
SORBS2
KLKB1
FAM149A
GK3
ADD1
GBA3
SLC30A5
NSUN2
ZDHHC11B
RICTOR
IL7R
GHR
MROH2B
TTC23L
AMACR
AGXT2
DDX4
GZMA
ANKRD55
SIM1
ERAP1
LNPEP
TBC1D32
NKAIN2
LAMA4
CCN6
MEF2D
DMGDH
ATG10
ZDHHC11
GON4L
OR6Y1
MRPL22
FAT2
OR10Z1
DNAH5
PCDHB9
HMHB1
CANX
GMCL2
ADAMTS12
ATP10B
FNDC9
ADAM19
FBXW11
TENM2
